id,nom,arrondissement,adresse,date_creation,date_revision,longitude,latitude
"10277","Jardin communautaire Petite-Bourgogne","Le Sud-Ouest","2247 Rue Quesnel, Montréal, QC, CA, H3J1G3","2021-01-21T15:26:58-0500","2024-06-26T16:04:18-0400",-73.575691507839,45.487352278759
"10375","Jardin communautaire Pierre-Bernard","Mercier–Hochelaga-Maisonneuve","Boulevard Pierre-Bernard et rue Bisaillon, Montréal, QC, CA, H1L6L3","2021-01-26T10:48:55-0500","2024-05-01T09:01:24-0400",-73.529566022399,45.607297761312
"10409","Jardin communautaire Pierre-Lacroix","Rivière-des-Prairies–Pointe-aux-Trembles","Rues Lorraine et Parent, Montréal, QC, CA","2021-01-27T09:27:02-0500","2022-10-28T10:47:56-0400",-73.495688661933,45.646101430259
"10671","Jardin communautaire Pierre-Lapointe","Ahuntsic-Cartierville","10555, rue Lajeunesse, Montréal, QC, CA, H3L2E5","2021-02-03T14:34:27-0500","2024-07-23T14:52:33-0400",-73.66609007644,45.557190582391
"10281","Jardin communautaire Pointe-Verte","Le Sud-Ouest","Rue Knox, Montréal, QC, CA, H3K1R1","2021-01-21T15:59:54-0500","2024-06-26T15:57:01-0400",-73.564187447378,45.477638516264
"10433","Jardin communautaire Pré-Carré","Rosemont–La Petite-Patrie","4235, rue Viau, Montréal, QC, CA, H1S2N8","2021-01-27T11:48:08-0500","2023-04-27T17:15:20-0400",-73.555908691125,45.568348981571
"10160","Jardin communautaire Réal-Gareau","Lachine","Rue Sherbrooke et 4e Avenue, Montréal, QC, CA","2021-01-18T16:47:18-0500","2022-06-29T16:00:54-0400",-73.667708527289,45.444691390739
"10158","Jardin communautaire Remembrance","Lachine","Rue Remembrance et 32e Avenue, Montréal, QC, CA","2021-01-18T14:59:45-0500","2022-05-12T08:23:24-0400",-73.690358422498,45.437534282583
"10249","Jardin communautaire Rencontres","Côte-des-Neiges–Notre-Dame-de-Grâce","Avenue Notre-Dame-de-Grâce et rue Botrel, Montréal, QC, CA","2021-01-21T09:47:22-0500","2021-10-14T14:30:06-0400",-73.616193813293,45.476169244506
"10266","Jardin communautaire Rivard","Le Plateau-Mont-Royal","Rue Rivard, Montréal, QC, CA","2021-01-21T13:45:05-0500","2024-05-10T11:06:37-0400",-73.584838392714,45.525419038828
